sitename,county,aqi,status,pm2.5,datacreationdate,longitude,latitude
龍潭,桃園市,36,,良好,1.3,0.22,41.1
平鎮,桃園市,34,,良好,0.7,0.35,35.7
觀音,桃園市,47,,良好,0.7,0.19,41.7
大園,桃園市,42,,良好,1.4,0.21,39.2
桃園,桃園市,35,,良好,1.2,0.34,35.6
大同,臺北市,56,二氧化氮,普通,0.9,0.84,13.8
松山,臺北市,41,,良好,1.1,0.26,28.4
古亭,臺北市,39,,良好,2.4,0.28,31.7
萬華,臺北市,30,,良好,1.2,0.31,32
中山,臺北市,40,,良好,0.6,0.36,30.8
士林,臺北市,39,,良好,0.7,0.24,44.8
淡水,新北市,40,,良好,1.4,0.3,45.3
林口,新北市,27,,良好,1.5,0.26,30.6
菜寮,新北市,35,,良好,0.5,0.33,38.5
新莊,新北市,41,,良好,0.8,0.3,35.1
板橋,新北市,33,,良好,0.7,0.34,35.1
土城,新北市,32,,良好,0.9,0.3,37.2
新店,新北市,39,,良好,0.5,0.3,33.7
萬里,新北市,46,,良好,0.7,0.19,55.2
汐止,新北市,38,,良好,1,0.23,33
基隆,基隆市,41,,良好,1.1,0.22,49.9
屏東(枋山),屏東縣,77,臭氧八小時,普通,0.5,0.21,48.9
宜蘭（頭城）,宜蘭縣,34,,良好,0,0.23,27
新北(樹林),新北市,37,,良好,1.2,0.31,25
屏東（琉球）,屏東縣,72,細懸浮微粒,普通,1.6,0.33,64.4
臺南（麻豆）,臺南市,,,,,,
高雄（湖內）,高雄市,61,細懸浮微粒,普通,1.9,0.31,55.2
彰化（員林）,彰化縣,35,,良好,1.2,0.31,33.6
大城,彰化縣,50,,良好,0.7,0.17,51.7
富貴角,新北市,49,,良好,0.3,0.15,57.2
麥寮,雲林縣,48,,良好,1.7,0.22,48.8
關山,臺東縣,36,,良好,1.4,0.2,40.1
馬公,澎湖縣,44,,良好,1.6,0.19,51.8
金門,金門縣,48,,良好,0.6,0.34,41.7
馬祖,連江縣,62,細懸浮微粒,普通,0.8,0.27,51.8
埔里,南投縣,51,細懸浮微粒,普通,1.2,0.31,44.2
復興,高雄市,82,細懸浮微粒,普通,1.6,0.43,67.9
永和,新北市,37,,良好,2,0.41,34
竹山,南投縣,53,細懸浮微粒,普通,1.4,0.26,44
中壢,桃園市,47,,良好,0.8,0.92,22
三重,新北市,58,二氧化氮,普通,0.7,1.07,12.1
冬山,宜蘭縣,32,,良好,0.8,0.19,33.2
宜蘭,宜蘭縣,31,,良好,0.9,0.23,39.2
陽明,臺北市,44,,良好,0.5,0.2,51.5
花蓮,花蓮縣,39,,良好,1.4,0.25,43.8
臺東,臺東縣,39,,良好,0.9,0.22,42.8
恆春,屏東縣,44,,良好,0.1,0.23,49.8
潮州,屏東縣,91,細懸浮微粒,普通,1.8,0.33,76.4
屏東,屏東縣,98,細懸浮微粒,普通,,,65.5
小港,高雄市,72,細懸浮微粒,普通,1.6,0.37,69.8
前鎮,高雄市,74,細懸浮微粒,普通,2.3,0.42,66
前金,高雄市,63,細懸浮微粒,普通,0.4,0.38,62.5
左營,高雄市,68,細懸浮微粒,普通,1.7,0.31,67.4
楠梓,高雄市,69,細懸浮微粒,普通,1.2,0.38,64.6
林園,高雄市,87,臭氧八小時,普通,2.2,0.36,78.5
